"product_name","number","purchase_price","price_per_unit","sale_price","expiry_date","stock"
"SEBAMED BABY SHAMPOO WITH PUMP 500ML","30028037",2.409,2.409,3.18,"09-01-2026",2
"SEBAMED BABY POWDER 200GM","30070027",1.65,1.65,2.127,"06-01-2026",1
"SEBAMED BABY LOTION 200ML","42810006",2.198,2.198,2.763,"05-01-2027",3
"SEBAMED BABY LIP BALM 4.8GM","3402",0.667,0.667,0.914,"09-01-2026",4
"SEBAMED BABY GENTLE WASH 200ML","40010004",1.44,1.44,1.992,"03-01-2027",3
"SEBAMED BABY CLEANSING WIPES 72S","1050468",1.386,1.386,1.914,"12-01-2026",2
"SEBAMED BABY CLEANSING BAR 100GM","30002356",1.037,1.037,1.409,"12-01-2026",3
"SEBAMED BABY BUBBLE BATH 200ML","40028002",1.45,1.45,1.939,"02-01-2027",3
"SEBAMED ANTI-DANDRUFF SHAMPOO 200ML","4A268A91",2.295,2.295,3.075,"08-01-2027",1
"SEBAMED ANTI HAIRLOSS SHAMPOO 200ML","40028012",2.25,2.25,2.8,"04-01-2027",1
"SEALAR CREAM 30GM","1220",1.667,1.667,2.5,"10-01-2026",2
"SEACOD KIDS ACTIVE CHEWABLE BURSTLETS 60S","SKA00424",4.5,4.5,6.3,"06-01-2026",2
"SEACOD 300MG CAPS 100S","SP00624",1.5,1.5,2.35,"05-01-2027",1
"SAVOY BURN RELIEF SPRAY 50ML","113",1.15,1.15,1.6,"06-01-2028",2
"SAPOFEN COLD & FLU 200MG TAB 20S","1146162",0.8,0.8,0.97,"03-01-2027",5
"SANITAYAKI CAPSICUM PLASTER 1S","210920004",0.15,0.15,0.3,"08-01-2027",19
"SANITABANT TRANSPARENT FIRST AID STRIP 20S","22080534",0.338,0.338,0.9,"08-01-2027",4
"SANITABANT TEXTILE FIRST AID STRIP 20S","23103034",0.338,0.338,0.9,"10-01-2028",9
"SANITABANT ASSORTED FIRST AID STRIPS 20S","22021634",0.338,0.338,0.9,"02-01-2027",4
"SALONPAS SPRAY 80ML","AABAH",1.957,1.957,3,"09-01-2026",2
"SALONPAS GEL 30GM","8802",0.987,0.987,1.5,"03-01-2027",1
"SALONPAS 6.5CM X 4.2CM PATCHES 20S","B505T",0.682,0.682,1,"04-01-2027",6
"SALIDEX TOPICAL SOLUTION 30ML","6194",0.99,0.99,1.31,"03-01-2027",3
"S-26 ULTIMA-1 400GM","41940017A5",4.925,4.925,5.46,"07-01-2026",1
"S-26 PROMILGOLD NO 2 900GM","41069510A2",8.169,8.169,9.4,"04-01-2026",4
"S-26 PROMILGOLD NO 2 400GM","41079510B1",4.349,4.349,4.7,"04-01-2026",1
"S-26 PROGRESS GOLD NO 3 900GM","41639510A3",7.246,7.246,8.5,"06-01-2026",1
"S-26 PROGRESS GOLD NO 3 400GM","40529510B1",3.544,3.544,4.1,"02-01-2026",1
"S-26 PROGOLD NO 1 900GM","41229510A1",8.151,8.151,9.4,"05-01-2026",3
"S-26 PROGOLD NO 1 400GM","42559510B1",4.092,4.092,4.7,"09-01-2026",3
"RUMALAYA GEL 30GM","112401862",1.15,1.15,1.5,"05-01-2027",3
"ROWATINEX CAPS 50S","8831C",1.025,1.025,1.28,"02-01-2028",0.4
"ROWACHOL CAPS 50S","8602C",0.99,0.99,1.28,"09-01-2026",1
"ROSUVAS 10MG TAB 30S","PTG0312B",4.514,4.514,5.5,"01-01-2027",1
"ROSSMAX NEBULIZER NL100","1000",11.8,11.8,24,"01-01-2029",2
"ROSSMAX DIGITAL THERMOMETER TG380","1000",1.65,1.65,3.33,"01-01-2029",16
"ROSSMAX DIGITAL BP MONITOR Z1","1000",12,12,22,"01-01-2029",1
"ROHTO AQUA EYE DROPS 13ML","3F1",2.895,2.895,3.95,"06-01-2026",1
"ROFENAC 50MG TAB 100S","2004616",3.37,3.37,4.91,"10-01-2027",1.4
"RHINOCORT AQUA NASAL SPRAY","BZ356",3.98,3.98,4.85,"05-01-2026",1
"RHEUMASAL MASSAGE CREAM 100GM","477F",1.697,1.697,2.83,"04-01-2026",2
"RESOLVE PLUS 1% CREAM 30GM","57390",1.129,1.129,1.49,"03-01-2026",3
"REPARIL-GEL N 40GM","8186683",1.19,1.19,1.45,"07-01-2027",2
"REPARIL GEL N 100GM","8186258",2.5,2.5,3.01,"05-01-2027",3
"RENNIE PEPPERMINT TAB 96S","N4P765",0.82,0.82,1,"05-01-2029",1.5
"RENERVE PLUS CAPS 30S","7259475A",7.15,7.15,9.5,"11-01-2026",1
"REMETHAN 50MG TAB 10S (BULK)","110831",0.146,0.146,0.251,"04-01-2026",8
"RELISPRAY PAIN RELIEF SPRAY 150ML","W362172",1.2,1.2,2.25,"11-01-2026",2
"RELEZIN 4MG TAB 30S","886M",1.925,1.925,2.69,"11-01-2027",2
"REGAINE 5% TOPICAL SOL FOR MEN 60ML","4022810",9.651,9.651,11.76,"01-01-2026",4
"REGAINE 5% FOAM FOR MEN 73ML","4062611",11.145,11.145,13.58,"05-01-2027",3
"REGAINE 2% TOPICAL SOL FOR MEN & WOMEN 60ML","4060710",5.039,5.039,9.21,"05-01-2026",1
"REDEX 5MG TAB 30S","23131",9,9,15.99,"06-01-2027",2
"REDEX 20MG TAB 4S","24094",2.24,2.24,5.46,"04-01-2028",4
"RECARE CLASSIC PLAIN CONDOM 12S","20220320",0.5,0.5,1.7,"02-01-2027",1
"RAPIDUS 50MG TAB 20S","4MX851",1.2,1.2,2.53,"05-01-2027",6
"QV MOISTURIZING CREAM 100 GM","57497",2.932,2.932,5.697,"04-01-2029",5
"QV LIP BALM 15GM","57183",2.127,2.127,3.713,"02-01-2029",2
"QV HAND CREAM SPF15 50GM","57622",3.404,3.404,4.8,"06-01-2029",1
"QV GENTLE WASH 500ML","56260",7.187,7.187,9.582,"05-01-2027",1
"QV GENTLE WASH 250GM","56418",4.743,4.743,6.081,"07-01-2027",1
"QV FACE OIL FREE MOISTURISER 75GM","57157",7.5,7.5,10,"02-01-2029",1
"QV FACE GENTLE CLEANSER 250GM","55520",3.723,3.723,6.288,"01-01-2027",1
"QV FACE DAY CREAM 75GM","56862",4.745,4.745,8.247,"11-01-2026",1
"QV BAR 100GM","12605",1.666,1.666,2.929,"05-01-2028",2
"QV BABY MOISTURISING CREAM 250GM","54417",8,8,11,"11-01-2026",1
"QV BABY MOISTURISING CREAM 100GM","56948",4.4,4.4,5.9,"12-01-2028",1
"QV BABY 2 IN 1 SHAMPOO 200ML","56539",2.786,2.786,4.642,"08-01-2027",1
"Q+A HYALURONIC FACE SERUM 30ML","A12441",2.243,2.243,4.38,"01-01-2027",2
"Q+A COLLAGEN ANTI AGE FACE CREAM 50GM","A12431",4.413,4.413,8.08,"01-01-2027",1
"PUREDERM NAIL POLISH REMOVER PADS 36S","ADS114",0.831,0.831,1.2,"11-01-2025",1
"PUREDERM DEEP CLEANSING NOSE STRIPS 6S","111422",0.937,0.937,1.4,"11-01-2025",2
"PUR PLASTIC FEEDING BOTTLE WITH HANDLE 250ML","1000",1.069,1.069,1.9,"01-01-2029",1
"PUR PLASTIC FEEDING BOTTLE 70ML","1000",0.416,0.416,0.95,"01-01-2029",15
"PUR PLASTIC FEEDING BOTTLE 240ML","1000",0.625,0.625,1.5,"01-01-2029",16
"PUR PLASTIC FEEDING BOTTLE 140ML","1000",0.975,0.975,1.3,"01-01-2029",8
"PUR GLASS FEEDING BOTTLE 240ML","1000",0.9,0.9,1.8,"01-01-2029",5
"PUR BOTTLE & NIPPLE CLEANSER 500ML","2500724",2.188,2.188,3.5,"07-01-2027",1
"PULSE OXIMETER PANODYNE","P012295",9.75,9.75,15,"01-01-2029",1
"PROXEN 500MG TAB 20S","700T02",3.68,3.68,3.8,"02-01-2026",1.5
"PROXEN 250MG TAB 20S","625T05",2.12,2.12,2.77,"02-01-2026",1
"PROSTA-TAB PR 0.4MG TAB 30S","3ZY219",3.066,3.066,5.23,"10-01-2026",0.666666667
"PROSPAN COUGH SYRUP 100ML","23H136A",1.073,1.073,2.5,"07-01-2026",6
"PROSPAN ACUTE EFFERVESCENT TAB 20S","23B075A",0.166,0.166,3.4,"12-01-2025",2
"PROPOLSAFT COUGH & COLD SYRUP 125ML","L2578",2.15,2.15,2.8,"07-01-2027",3
"PRONATAL TAB 30S","R0295301",4.284,4.284,5.95,"10-01-2026",2
"PROLYTE ORS ORANGE 10S","4Q30036",0,0,2,"03-01-2027",4
"PROLYTE ORS LIME 10S","Q330026",0,0,2,"02-01-2026",4
"PROGYLUTON TAB 21S","WEX7VR",0.845,0.845,1.03,"04-01-2029",5
"PROGESTA 400MG PESSARIES 15S","5253",3.685,3.685,4.49,"09-01-2026",1
"PROFINAL XP CAPLETS 20S","7057",0.825,0.825,1.19,"08-01-2027",2
"PROFINAL 100MG/5ML PAEDIATRIC SUSP 110ML","5671",0.775,0.775,1.11,"04-01-2027",6
"PROFILAR 1MG/5ML SYRUP 120ML","015H",1.162,1.162,1.4,"09-01-2026",6
"PROCTOLIZ MED ANTI HEMORRHOIDAL CREAM 25GM","1524",2.052,2.052,2.9,"05-01-2027",3
"PROCTO-GLYVENOL 400MG SUPPOSITORIES 10S","H0107",1.18,1.18,2.88,"06-01-2026",1.5
"PRO COMFORT TAMPONS 16S","166",1.95,1.95,2.3,"01-01-2028",1
"PRIMOLUT N 5MG TAB 30S","WEX77P",1.512,1.512,1.99,"05-01-2029",15
"PRIME CARE MEGAA ADULT DIAPER PANTS XL 20S","JYCC240422AP",4.8,4.8,7.5,"04-01-2029",4
"PRIME CARE MEGAA ADULT DIAPER PANTS M 20S","JYCC241110AP",4.16,4.16,6.5,"11-01-2029",2
"PRIME CARE MEGAA ADULT DIAPER PANTS L 20S","JYCC240510AP",4.48,4.48,7,"05-01-2029",2
"PREMIER ECONOMY PULL UP DIAPERS M 30S","230901",5.688,5.688,7.8,"02-01-2026",1
"PREGNACARE TAB 30S","127989",1.831,1.831,5.97,"01-01-2027",2
"PREGNACARE CONCEPTION 30S","170480",3.727,3.727,9.7,"06-01-2027",3
"PREGNACARE BREAST FEEDING TAB 84S","FB2324",9,9,11.5,"04-01-2026",1
"PREDO 15MG/5ML SYRUP 120ML","A350",3.718,3.718,4.53,"08-01-2026",3
"PRED FORTE 1% EYE DROP 5ML","415436",1.239,1.239,1.51,"09-01-2026",6
"POWER PLUS GOLD CAPS 30S","PG0125",2.342,2.342,3.805,"12-01-2027",3
"POWER PLUS CAPS 30S","PD01523",1.525,1.525,2.535,"11-01-2026",2
"POVIDONE IODINE THROAT SPRAY 40GM","THS31010223",1.1,1.1,2.2,"01-01-2026",1
"POVADINE ANTISEPTIC SOLUTION 30ML","721327",0.308,0.308,0.5,"01-01-2028",2
"PONSTAN FORTE 500MG TAB 20S","LT1215",1.354,1.354,1.65,"05-01-2027",2
"POCARI SWEAT POWDER 66GM","1000",0.6,0.6,0.675,"10-01-2025",10
"POCARI SWEAT CAN 330ML","1000",0.349,0.349,0.393,"12-01-2025",1
"POCARI SWEAT BOTTLE 350ML","1000",0.41,0.41,0.468,"02-01-2026",3
"PILEX TAB 60S","AUS83",1.56,1.56,2.77,"12-01-2025",4
"PILES MEDICAL CUSHION","1000",2.25,2.25,3.8,"01-01-2030",1
"PIGEON MINILIGHT PACIFIER S 0+","1000",1.228,1.228,2.045,"01-01-2030",4
"PIGEON MINILIGHT PACIFIER M 6+","1000",1.228,1.228,2.045,"01-01-2030",3
"PIGEON MINILIGHT PACIFIER L 12+","1000",1.228,1.228,2.045,"01-01-2030",3
"PIGEON MAGMAG STRAW CUP 200ML","1000",0,0,3.335,"01-01-2030",6
"PIGEON MAGMAG SPOUT CUP 200ML","1000",0,0,3.145,"01-01-2030",4
"PIGEON GLASS FEEDING BOTTLE 240ML","1000",1.567,1.567,2.895,"01-01-2030",7
"PIGEON GLASS FEEDING BOTTLE 200ML","1000",1.479,1.479,2.895,"01-01-2030",3
"PIGEON COOLING TEETHER","1000",1.07,1.07,1.72,"01-01-2030",3
"PHILIPS AVENT PLASTIC FEEDING BOTTLE 260ML","1000",2.85,2.85,4.4,"01-01-2030",2
"PHILIPS AVENT GLASS FEEDING BOTTLE 240ML","1000",3.9,3.9,5.4,"01-01-2030",3
"PHILIPS AVENT GLASS FEEDING BOTTLE 120ML","1000",3.4,3.4,4.9,"01-01-2030",2
"PHILIPS AVENT 6M+ NATURAL RESPONSE TEATS 2S","1000",2.2,2.2,3.4,"01-01-2030",1
"PHILIPS AVENT 3M+ NATURAL RESPONSE TEATS 2S","1000",2.2,2.2,3.4,"01-01-2030",5
"PHILIPS AVENT 0M+ NATURAL RESPONSE TEATS 2S","1000",2.2,2.2,3.4,"01-01-2030",5
"PHENICOL EYE DROPS 10ML","EI477",0.599,0.599,0.73,"03-01-2026",1
"PHARMAPORE TRANSPARENT WOUND DRESSING 10X20CM 40S","15K23",6,6,8,"10-01-2028",0.575
"PHARMAPORE TRANSPARENT WOUND DRESSING 10X12CM 60S","15K23",0,0,9,"10-01-2028",0.316666667
"PHARMACERIS SPF50 MEDI ACNE PROTECTION CREAM 50ML","3L20H",6.267,6.267,9,"12-01-2026",1
"PHARMACERIS SPF 30 SEBO MOISTATIC CREAM 50ML","4H23A",7.8,7.8,10,"08-01-2027",1
"PHARMACERIS BROAD SPECTRUM SPF50 CREAM 50ML","WC16A",3.51,3.51,9,"03-01-2026",1
"PHARMACERIS ALBUCIN TRIPLE ACTION DAY CREAM 50ML","3E31C",6.825,6.825,10.5,"05-01-2026",2
"PHARMACERIS ALBUCIN INTNSV WHTNG NIGHT CREAM 30ML","3D20C",7,7,10,"04-01-2026",2
"PHARMACERIS ALBUCIN C 5% SERUM 30ML","3I12L",7.312,7.312,10.5,"09-01-2026",1
"PERMEA PLUS TAB 30S","240442",7.098,7.098,12.275,"04-01-2027",2
"PERIACTIN 4MG TAB 20S","M0268",0.265,0.265,0.72,"06-01-2027",5.5
"PERAZONE 0.5MG TAB 10S (BULK)","120640",0.07,0.07,0.09,"10-01-2029",20
"PEPTAZOL 30MG CAPS 14S","2002480",0,0,3.66,"07-01-2027",1
"PEDIFLOR KIDZ DAY AND NIGHT KIT","P024002",1.888,1.888,2.95,"02-01-2026",1
"PEDIFLOR KIDS TOOTHPASTE MELON 70GM","PM23003",1.344,1.344,2.1,"11-01-2025",2
"PEDIFLOR KIDS TOOTHPASTE BUBBLE GUM 70GM","PD25001",1.344,1.344,2.1,"12-01-2027",4
"PEDICURE FILE","1000",0.5,0.5,1,"01-01-2029",1
"PEDIAVIT D 400IU ORAL SOL 50ML","PDM2415",3,3,3.915,"02-01-2027",1
"PEDIASURE 1+ VANILLA 400GM","1228915",3.358,3.358,3.8,"06-01-2026",4
"PEDIASURE 3+ VANILLA 400GM","1210686",3.358,3.358,3.8,"09-01-2025",2
"PEDIAFER DROPS 50ML","PFL2302",3.059,3.059,4,"03-01-2027",2
"PEDIAFAST DROPS 25ML","12271024",0.834,0.834,1.22,"10-01-2026",4
"PECTOL HONEY LEMON VIT C LOZENGES 8S","51C184",0.185,0.185,0.475,"05-01-2026",1
"PECTOL GINGER PROPOLIS VIT C LOZENGES 8S","43C194",0.185,0.185,0.475,"05-01-2026",12
"PECTOL EUCALYPTUS VIT C LOZENGES 8S","11C024",0.185,0.185,0.475,"01-01-2027",7
"PATADAY 0.2% OPHTHALMIC SOLUTION 2.5ML","VHX63A",5.023,5.023,6.12,"06-01-2026",1
"PASANTE WARMING CONDOM 3S","214707",0,0,1,"10-01-2026",1
"PASANTE REGULAR CONDOM 3S","214403",0,0,1,"10-01-2026",6
"PASANTE PASSION CONDOMS 3S","21405",0,0,1,"10-01-2026",8
"PASANTE FLAVOURS CONDOM 3S","203217",0.187,0.187,1,"07-01-2025",3
"PASANTE FEEL CONDOM 3S","214406",0,0,1,"10-01-2026",5
"PASANTE FEEL CONDOM 12S","212706",0,0,4,"06-01-2026",5
"PASANTE COOLING CONDOM 3S","214706",0,0,1,"10-01-2026",8
"PASANTE CLIMAX CONDOM 3S","214706",0,0,1,"10-01-2026",2
"PARODONTAX WHITENING TOOTHPASTE 75ML","H012",2.2,2.2,2.928,"03-01-2027",3
"PARODONTAX ORIGINAL TOOTH PASTE 75ML","H041",1.912,1.912,2.199,"10-01-2026",1
"PARODONTAX FLUORIDE TOOTH PASTE 75ML","J003",1.912,1.912,2.199,"02-01-2028",1
"PARODONTAX EXTRA FRESH TOOTH PASTE 75ML","H026",1.791,1.791,2.381,"10-01-2027",1
"PARACETAMOL IV INFUSION PHARCO B 100ML","12251323",0.618,0.618,1.13,"10-01-2025",1
"PAPERMINTS COOL CAPS 1S","PMSMM23005",0.725,0.725,1.1,"05-01-2026",4
"PANUM 40 TAB 30S","PPU22007",3.857,3.857,6.11,"11-01-2025",0.333333333
"PANTOZYN-40MG TAB 30S","PAN23625C",7.095,7.095,9.7,"09-01-2025",0.333333333
"PANTOZYN-20MG TAB 30S","FD240421A",3.93,3.93,5.9,"04-01-2026",1
"PANTOR 40MG TAB 30S","BJH6L004",3.58,3.58,6.111,"06-01-2027",2.666666667
"PANTOR 20MG TAB 30S","BJH5L003",2.443,2.443,3.72,"01-01-2027",6.666666667
"PANOXYL ACNE FOAMING WASH 5.5OZ","P3380",4.762,4.762,7.525,"12-01-2027",1
"PANOXYL 4% ACNE CREAMY WASH 6OZ","P2760",5.8,5.8,7.62,"06-01-2027",2
"PANODYNE FLEXIBLE DIGITAL THERMOMETER","P012274",1.4,1.4,2.8,"09-01-2028",5
"PANDERM CREAM 15GM","8646",0.7,0.7,1.21,"11-01-2027",3
"PANDERM SKIN OINT 15GM","7884",0.88,0.88,1.21,"10-01-2028",2
"PANALEX ADVANCE 500MG TAB 30S","133124",0.273,0.273,0.5,"11-01-2026",3
"PANADREX 500MG TAB 96S","NT90",0.585,0.585,1.45,"01-01-2027",6
"PANADOL SINUS CAPLETS 24S","EA443",0.525,0.525,1.46,"04-01-2027",4
"PANADOL NIGHT CAPLETS 24S","EC138",0.531,0.531,1.5,"09-01-2026",6.5
"PANADOL MIGRAINE CAPS 24S","4S3X",2.122,2.122,2.74,"02-01-2027",2
"PANADOL JOINT EXTENDED RELIEF TAB 24S","EC115",1.312,1.312,1.79,"01-01-2027",4
"PANADOL EXTRA TAB 48S","N93N",0.298,0.298,2.32,"08-01-2026",9
"PANADOL ELIXIR SYRUP 100ML","EC086",1.146,1.146,1.85,"09-01-2027",4
"PANADOL COLD AND FLU DAY NEW CAPLETS 24S","YR3N",0.336,0.336,1.33,"12-01-2025",5.333333333
"PANADOL COLD & FLU TAB ALL IN ONE 24S","552X",0.394,0.394,1.59,"02-01-2027",4.333333333
"PANADOL COLD & FLU CAPLETS 24S","EA607",0.505,0.505,1.33,"05-01-2027",15
"PANADOL COLD & FLU HOT LEMON & HONEY SACHETS 10S","BB2U",1.428,1.428,1.95,"05-01-2026",0.8
"PANADOL BABY & INFANT SUSP 100ML","F589",0.511,0.511,0.74,"06-01-2027",6
"PANADOL ADVANCE 500MG TAB 24S","B37X",0.244,0.244,0.94,"03-01-2027",11.5
"PANADOL ACTIFAST TAB 20S","HU60",0.374,0.374,1.06,"01-01-2027",10
"PAMPERS NO 5 PREMIUM CARE DOUBLE 46S","43102650",5.468,5.468,7.72,"11-01-2027",1
"PAMPERS NO 4 PREMIUM CARE DOUBLE 54S","43102650",6.84,6.84,7.72,"11-01-2027",1
"PAMPERS NO 4 DOUBLE 44S","3337001104",3.969,3.969,4.57,"12-01-2026",1
"PAMPERS NO 3 PREMIUM CARE DOUBLE 62S","33092650",5.468,5.468,7.72,"11-01-2026",1
"PAMPERS NO 3 DOUBLE 46S","42212650",3.925,3.925,4.57,"08-01-2027",2
"PAMPERS NO 2 23S","42342650",1.459,1.459,1.665,"08-01-2027",1
"PAMPERS NO 1 DOUBLE 66S","42562650",3.925,3.925,4.57,"09-01-2027",2
"PAMPERS NO 1 21S","4255650",1.459,1.459,1.665,"09-01-2027",2
"OZONE COSMETICS FLY REPELLENT SPRAY 100ML","1R0623",1.422,1.422,2.9,"08-01-2026",2
"OYSTERCAL D TAB 60S","589H",2.638,2.638,4.735,"07-01-2026",1
"OVAMIT 50MG TAB 10S","94224",1.63,1.63,2.07,"04-01-2026",4
"OVACARE TAB 30S","697P2402X",3.78,3.78,5,"07-01-2026",2
"OTRIVIN 0.1% NASAL SPRAY 10ML","H66U",1.165,1.165,1.79,"08-01-2027",12
"OTRIVIN 0.1 % NASAL DROPS 10ML","JG3M",0.782,0.782,1.19,"08-01-2026",7
"OTRIVIN 0.05% NASAL SPRAY 10ML","898Y",1.016,1.016,1.56,"04-01-2027",12
"OTRIVIN 0.05% NASAL DROPS 10ML","A97S",0.703,0.703,1.09,"05-01-2026",6
"OTRI ALLERGY 24HR NASAL SPRAY 120MD","K87A",4.46,4.46,5.49,"01-01-2026",1
"OSTEOCARE TAB 30S","109078A",1.01,1.01,3.31,"10-01-2027",3.5
"OSTEBON PLUS 500MG TAB 60S","EMPA240525",1.231,1.231,3,"12-01-2025",3.333333333
"ORTHOTEC COOLER BAG WITH DIGITAL DISPLAY 2113TD","1000",6.6,6.6,9.43,"01-01-2030",1
"ORTHOFIT THIGH SUPPORT","1000",1.38,1.38,2.6,"01-01-2030",1
"ORTHOFIT ELBOW SUPPORT","1000",1.059,1.059,2.4,"01-01-2030",2
"ORS NEW ORANGE SACHETS 10S","5324009",0.85,0.85,1.5,"09-01-2027",4
"ORONAMIN C DRINK 120ML","U3",0.499,0.499,0.563,"12-01-2025",3
"ORGANIC VITAMIN C POPS","Q112",0.099,0.099,0.2,"06-01-2027",2
"ORACURE GEL 15GM","234059",0.65,0.65,1,"08-01-2026",3
"OR BLEU WOODEN NAIL STICKS CT447","1000",0.96,0.96,2,"01-01-2029",1
"OR BLEU WIDE CUTTING COMB POCKET HB254","1000",1.02,1.02,1.7,"01-01-2029",1
"OR BLEU WIDE CUTTING COMB HB251","1000",1.02,1.02,1.7,"01-01-2029",1
"OR BLEU TOENAIL CLIPPERS PLASTIC CONTAINER CT420","1000",1.05,1.05,1.75,"01-01-2029",2
"OR BLEU TOENAIL CLIPPERS CURVED BLADES CT418","1000",0.74,0.74,1.23,"01-01-2029",2
"OR BLEU SLANT TIP EXPERT TWEEZERS 405","1000",1.43,1.43,2.38,"01-01-2029",3
"OR BLEU SCULPTING FACE BRUSH 674","1000",1.44,1.44,2.6,"01-01-2029",1
"OR BLEU SAPPHIRE NAIL FILE CT445","1000",1.43,1.43,2.38,"01-01-2029",2
"OR BLEU SAFETY SCISSORS CT423","1000",1.94,1.94,3.23,"01-01-2029",2
"OR BLEU RAT TAIL COMB HB256","1000",1.02,1.02,1.7,"01-01-2029",1
"OR BLEU PRECISION EYELASH CURLER 451","1000",2,2,2.2,"01-01-2029",2
"OR BLEU POWDER BRUSH 671","1000",1.44,1.44,2.8,"01-01-2029",1
"OR BLEU POCKET MIRROR 512","1000",1,1,2.2,"01-01-2029",2
"OR BLEU NATURAL KONJAC CLEANSING PUFFS CT504","1000",2.04,2.04,3.4,"01-01-2029",1
"OR BLEU NAIL CLIPPERS SWIVEL CT413","1000",1.2,1.2,2,"01-01-2029",2
"OR BLEU NAIL CLIPPERS HARDENED STAINLESS CT411","1000",1.2,1.2,2,"01-01-2029",2
"OR BLEU NAIL CLIPPERS CURVED BLADES CT417","1000",0.54,0.54,0.9,"01-01-2029",2
"OR BLEU NAIL AND CUTICLE SCISSORS CT421","1000",1.8,1.8,3,"01-01-2029",1
"OR BLEU MINI PLASTIC NAIL FILES 438","1000",0.84,0.84,1.4,"01-01-2029",1
"OR BLEU MINI EYESHADOW BRUSHES 624","1000",0.7,0.7,2.4,"01-01-2029",1
"OR BLEU MASCARA BRUSHES","1000",0.8,0.8,1.33,"01-01-2029",2
"OR BLEU MAKEUP SPONGES 655","1000",1,1,1.6,"01-01-2029",1
"OR BLEU MAKEUP PUFF","1000",1.26,1.26,2.1,"01-01-2029",1
"OR BLEU MAKEUP AIR PUFF","1000",1.6,1.6,2.67,"01-01-2029",1
"OR BLEU LIP BRUSH 683","1000",1.2,1.2,2,"01-01-2029",1
"OR BLEU LARGE CLIPPER STYLING COMB HB252","1000",1.02,1.02,1.7,"01-01-2029",1
"OR BLEU HARDENED STAINLESS TOENAIL CLIPPERS CT412","1000",1.38,1.38,2.3,"01-01-2029",1
"OR BLEU HAIR COLOURING BRUSH AND COMB HB257","1000",0.42,0.42,0.7,"01-01-2029",1
"OR BLEU HAIR COLOURING BRUSH 258","1000",0.54,0.54,0.9,"01-01-2029",1
"OR BLEU HAIR BRUSH 442","1000",3,3,5.6,"01-01-2029",1
"OR BLEU HAIR BRUSH 441","1000",3,3,4.5,"01-01-2029",1
"OR BLEU HAIR BRUSH 440","1000",3,3,3.4,"01-01-2029",1
"OR BLEU HAIR BRUSH 439","1000",3,3,3.4,"01-01-2029",1
"OR BLEU HAIR BRUSH 438","1000",3,3,3.4,"01-01-2029",1
"OR BLEU HAIR BRUSH 437","1000",3,3,3.4,"01-01-2029",1
"OR BLEU HAIR BRUSH 436","1000",3,3,4.5,"01-01-2029",1
"OR BLEU FULL JAW CUTICLE NIPPERS CT432","1000",2.61,2.61,4.35,"01-01-2029",1
"OR BLEU FINGER TOE SEPARATOR 449","1000",0.4,0.4,0.85,"01-01-2029",2
"OR BLEU FINE TOOTHED POCKET COMB HB255","1000",1.02,1.02,1.7,"01-01-2029",1
"OR BLEU FINE AND WIDE TOOTHED COMB HB253","1000",1.02,1.02,1.7,"01-01-2029",1
"OR BLEU FIBERGLASS NAIL FILE CT441","1000",1.428,1.428,2.38,"01-01-2029",2
"OR BLEU FACIAL CLEANSING SPONGES CT651","1000",0.66,0.66,1.1,"01-01-2029",2
"OR BLEU FACIAL & OCULAR BEAUTY BLENDERS CT503","1000",1.62,1.62,3,"01-01-2029",1
"OR BLEU EYESHADOW BRUSH","1000",0.66,0.66,1.1,"01-01-2029",2
"OR BLEU EYELASH & EYEBROW BRUSH 679","1000",0.66,0.66,1.4,"01-01-2029",1
"OR BLEU EXPERT SQUARE TIP TWEEZERS 401","1000",1.37,1.37,2.28,"01-01-2029",1
"OR BLEU EMERY NAIL FILES CT459","1000",0.93,0.93,1.55,"01-01-2029",1
"OR BLEU CUTICLE TIMMER CT448","1000",1.05,1.05,1.75,"01-01-2029",2
"OR BLEU CUTICLE SCISSORS EXTRA FINE BLADES 422","1000",2,2,3.33,"01-01-2029",2
"OR BLEU CUTICLE PUSHER AND CUTTER CT453","1000",1.255,1.255,2.09,"01-01-2029",2
"OR BLEU CALLUS REMOVER WOODEN HANDLE CT461","1000",1.08,1.08,1.8,"01-01-2029",2
"OR BLEU CALLUS REMOVER PLASTIC HANDLE CT462","1000",0.66,0.66,1.1,"01-01-2029",1
"OR BLEU BLUSH BRUSH 672","1000",1.8,1.8,2.4,"01-01-2029",1
"OR BLEU BEAUTY BLENDER SPONGES CT502","1000",1.92,1.92,3.2,"01-01-2029",1
"OR BLEU BABY NAIL CLIPPER CT531","1000",0.66,0.66,1.1,"01-01-2029",4
"OR BLEU ALL PURPOSE COMB HB250","1000",1.02,1.02,1.7,"01-01-2029",1
"OR BLEU 4 WAY NAIL BUFFER CT440","1000",0.78,0.78,1.3,"01-01-2029",1
"OR BLEU 4 WAY MINI NAIL BUFFERS CT439","1000",1.2,1.2,2,"01-01-2029",2
"OPTREX EYE LOTION 110ML","SJ801",1.98,1.98,2.375,"05-01-2027",1
"OPTREX EYE DROPS 10ML","RV425",1.063,1.063,1.275,"12-01-2026",6
"OPTIVE FUSION UD EYE DROPS 0.4ML 30S","406531",5.655,5.655,7.25,"01-01-2026",1
"OPTIVE FUSION EYE DROPS 10ML","406252",4.719,4.719,6.05,"12-01-2025",1
